k,edit_distance,target_sequence_length,output_sequence_length,de_bruijn_graph_construction_time,euler_path_reconstruction_time
13,0,10000,10000,0.0721595287322998,0.30230712890625
14,0,10000,10000,0.03165626525878906,0.34942102432250977
15,0,10000,10000,0.03105616569519043,0.3415086269378662
16,0,10000,10000,0.030910015106201172,0.340512752532959
17,0,10000,10000,0.030747652053833008,0.30468082427978516
13,0,10000,10000,0.06842160224914551,0.3060629367828369
14,0,10000,10000,0.061000823974609375,0.3063547611236572
15,0,10000,10000,0.06957387924194336,0.30709075927734375
16,0,10000,10000,0.030830860137939453,0.35593700408935547
17,0,10000,10000,0.0309603214263916,0.338944673538208
13,0,10000,10000,0.03084397315979004,0.34113502502441406
14,0,10000,10000,0.030766010284423828,0.30622148513793945
15,0,10000,10000,0.07010698318481445,0.3087179660797119
16,0,10000,10000,0.06757092475891113,0.3042442798614502
17,0,10000,10000,0.06818985939025879,0.30570149421691895
13,0,10000,10000,0.031804561614990234,0.3539903163909912
14,0,10000,10000,0.030920982360839844,0.340975284576416
15,0,10000,10000,0.030492305755615234,0.3430643081665039
16,0,10000,10000,0.03195333480834961,0.3063523769378662
17,0,10000,10000,0.07026362419128418,0.30460619926452637
13,0,10000,10000,0.0660247802734375,0.30647754669189453
14,0,10000,10000,0.06841492652893066,0.3084299564361572
15,0,10000,10000,0.031141996383666992,0.3553495407104492
16,0,10000,10000,0.03121638298034668,0.343703031539917
17,0,10000,10000,0.030568361282348633,0.33704471588134766
13,0,10000,10000,0.03094005584716797,0.31046414375305176
14,0,10000,10000,0.06890153884887695,0.305955171585083
15,0,10000,10000,0.0669412612915039,0.30666017532348633
16,0,10000,10000,0.06880378723144531,0.30629968643188477
17,0,10000,10000,0.03128981590270996,0.3516964912414551
13,0,10000,10000,0.031188011169433594,0.342639684677124
14,0,10000,10000,0.030450820922851562,0.34168195724487305
15,0,10000,10000,0.030863523483276367,0.3051636219024658
16,0,10000,10000,0.07263851165771484,0.3075265884399414
17,0,10000,10000,0.06712961196899414,0.3026123046875
13,0,10000,10000,0.06658315658569336,0.3096020221710205
14,0,10000,10000,0.03141188621520996,0.3533651828765869
15,0,10000,10000,0.030483245849609375,0.3421764373779297
16,0,10000,10000,0.030661582946777344,0.34236836433410645
17,0,10000,10000,0.030703306198120117,0.30223894119262695
13,0,10000,10000,0.06927156448364258,0.3085811138153076
14,0,10000,10000,0.06619477272033691,0.3066256046295166
15,0,10000,10000,0.06823563575744629,0.308577299118042
16,0,10000,10000,0.031223535537719727,0.35739946365356445
17,0,10000,10000,0.031107425689697266,0.33686375617980957
13,0,10000,10000,0.030870437622070312,0.34204626083374023
14,0,10000,10000,0.030738353729248047,0.3059699535369873
15,0,10000,10000,0.0711662769317627,0.3076615333557129
16,0,10000,10000,0.06807756423950195,0.3074061870574951
17,0,10000,10000,0.06866264343261719,0.3043379783630371
13,0,10000,10000,0.031062602996826172,0.35268187522888184
14,0,10000,10000,0.03106212615966797,0.34357237815856934
15,0,10000,10000,0.030574798583984375,0.33836960792541504
16,0,10000,10000,0.030998945236206055,0.3056156635284424
17,0,10000,10000,0.07087969779968262,0.3037126064300537
13,0,10000,10000,0.06585931777954102,0.30588507652282715
14,0,10000,10000,0.06793522834777832,0.3072829246520996
15,0,10000,10000,0.03100895881652832,0.3523094654083252
16,0,10000,10000,0.03108382225036621,0.34522151947021484
17,0,10000,10000,0.03072381019592285,0.3377699851989746
13,0,10000,10000,0.03097844123840332,0.3064138889312744
14,0,10000,10000,0.0694887638092041,0.3077378273010254
15,0,10000,10000,0.06689143180847168,0.30666375160217285
16,0,10000,10000,0.06905651092529297,0.30893731117248535
17,0,10000,10000,0.030928611755371094,0.3521144390106201
13,0,10000,10000,0.03090190887451172,0.34231138229370117
14,0,10000,10000,0.029713153839111328,0.34173130989074707
15,0,10000,10000,0.030857324600219727,0.30526280403137207
16,0,10000,10000,0.06778860092163086,0.3106956481933594
17,0,10000,10000,0.0666663646697998,0.30278968811035156
13,0,10000,10000,0.06771540641784668,0.30896425247192383
14,0,10000,10000,0.03135800361633301,0.351651668548584
15,0,10000,10000,0.031055927276611328,0.34210658073425293
16,0,10000,10000,0.030803203582763672,0.34162020683288574
17,0,10000,10000,0.0306856632232666,0.30182933807373047
13,0,10000,10000,0.06990742683410645,0.30878710746765137
14,0,10000,10000,0.0663611888885498,0.3059067726135254
15,0,10000,10000,0.06871652603149414,0.30937671661376953
16,0,10000,10000,0.031230449676513672,0.3524045944213867
17,0,10000,10000,0.03127765655517578,0.3388354778289795
13,0,10000,10000,0.031270503997802734,0.344158411026001
14,0,10000,10000,0.03089165687561035,0.3040750026702881
15,0,10000,10000,0.07234334945678711,0.30963611602783203
16,0,10000,10000,0.068084716796875,0.30835628509521484
17,0,10000,10000,0.0686807632446289,0.30555295944213867
13,0,10000,10000,0.031190872192382812,0.3554513454437256
14,0,10000,10000,0.03110814094543457,0.34183287620544434
15,0,10000,10000,0.03069901466369629,0.34310221672058105
16,0,10000,10000,0.031028032302856445,0.305056095123291
17,0,10000,10000,0.07095003128051758,0.30098700523376465
13,0,10000,10000,0.06543445587158203,0.30635809898376465
14,0,10000,10000,0.06799602508544922,0.3064713478088379
15,0,10000,10000,0.03092169761657715,0.35525965690612793
16,0,10000,10000,0.031093358993530273,0.34435534477233887
17,0,10000,10000,0.03075695037841797,0.33751630783081055
13,0,10000,10000,0.030792951583862305,0.3064136505126953
14,0,10000,10000,0.06961822509765625,0.3060305118560791
15,0,10000,10000,0.06719279289245605,0.3064873218536377
16,0,10000,10000,0.06922531127929688,0.3060414791107178
17,0,10000,10000,0.030946731567382812,0.3521275520324707
13,0,10000,10000,0.031038761138916016,0.34287095069885254
14,0,10000,10000,0.030647993087768555,0.342303991317749
15,0,10000,10000,0.030638694763183594,0.30639171600341797
16,0,10000,10000,0.07099127769470215,0.30621981620788574
17,0,10000,10000,0.0663611888885498,0.3028719425201416
13,0,10000,10000,0.0673222541809082,0.31087183952331543
14,0,10000,10000,0.03131866455078125,0.3524460792541504
15,0,10000,10000,0.031116724014282227,0.3424077033996582
16,0,10000,10000,0.030847549438476562,0.34236621856689453
17,0,10000,10000,0.030724525451660156,0.30217933654785156
13,0,10000,10000,0.0694892406463623,0.310161828994751
14,0,10000,10000,0.0664224624633789,0.3048090934753418
15,0,10000,10000,0.06871914863586426,0.30999755859375
16,0,10000,10000,0.030961036682128906,0.3544163703918457
17,0,10000,10000,0.031030893325805664,0.3390829563140869
13,0,10000,10000,0.03084564208984375,0.3440210819244385
14,0,10000,10000,0.030683040618896484,0.3064243793487549
15,0,10000,10000,0.07038450241088867,0.307100772857666
16,0,10000,10000,0.0667877197265625,0.3079864978790283
17,0,10000,10000,0.06810784339904785,0.3061988353729248
13,0,10000,10000,0.03096485137939453,0.3560309410095215
14,0,10000,10000,0.031171321868896484,0.34392881393432617
15,0,10000,10000,0.030812740325927734,0.34563660621643066
16,0,10000,10000,0.031176090240478516,0.3048398494720459
17,0,10000,10000,0.07130599021911621,0.3057441711425781
13,0,10000,10000,0.06695318222045898,0.3073709011077881
14,0,10000,10000,0.06791472434997559,0.30747413635253906
15,0,10000,10000,0.030955791473388672,0.35471463203430176
16,0,10000,10000,0.030924558639526367,0.3441457748413086
17,0,10000,10000,0.030646324157714844,0.338930606842041
13,0,10000,10000,0.030074596405029297,0.3061866760253906
14,0,10000,10000,0.06950616836547852,0.3069443702697754
15,0,10000,10000,0.0612330436706543,0.307736873626709
16,0,10000,10000,0.06913590431213379,0.30962324142456055
17,0,10000,10000,0.03027653694152832,0.3508567810058594
13,0,10000,10000,0.030723094940185547,0.3433551788330078
14,0,10000,10000,0.0306241512298584,0.3443887233734131
15,0,10000,10000,0.03082585334777832,0.30602097511291504
16,0,10000,10000,0.0716390609741211,0.3087592124938965
17,0,10000,10000,0.06635618209838867,0.302978515625
13,0,10000,10000,0.06769657135009766,0.308382511138916
14,0,10000,10000,0.03095245361328125,0.3538634777069092
15,0,10000,10000,0.030817508697509766,0.34317874908447266
16,0,10000,10000,0.030605077743530273,0.3414425849914551
17,0,10000,10000,0.03067302703857422,0.3023519515991211
13,0,10000,10000,0.06948280334472656,0.3081057071685791
14,0,10000,10000,0.06634736061096191,0.30616021156311035
15,0,10000,10000,0.06869912147521973,0.307344913482666
16,0,10000,10000,0.03108525276184082,0.3541550636291504
17,0,10000,10000,0.030873537063598633,0.3398864269256592
13,0,10000,10000,0.030381202697753906,0.34354376792907715
14,0,10000,10000,0.030753612518310547,0.30423879623413086
15,0,10000,10000,0.0668642520904541,0.3075554370880127
16,0,10000,10000,0.06825637817382812,0.30618810653686523
17,0,10000,10000,0.06673240661621094,0.3054380416870117
13,0,10000,10000,0.030782222747802734,0.3532264232635498
14,0,10000,10000,0.031141996383666992,0.344043493270874
15,0,10000,10000,0.03092050552368164,0.3435053825378418
16,0,10000,10000,0.030889511108398438,0.3049933910369873
17,0,10000,10000,0.07067203521728516,0.30469322204589844
13,0,10000,10000,0.06636691093444824,0.3057239055633545
14,0,10000,10000,0.06764078140258789,0.30797672271728516
15,0,10000,10000,0.0310671329498291,0.35585641860961914
16,0,10000,10000,0.030983924865722656,0.34233713150024414
17,0,10000,10000,0.030604124069213867,0.3380751609802246
13,0,10000,10000,0.030385971069335938,0.3040943145751953
14,0,10000,10000,0.0693368911743164,0.3068864345550537
15,0,10000,10000,0.061936140060424805,0.3063781261444092
16,0,10000,10000,0.06931328773498535,0.3072941303253174
17,0,10000,10000,0.030303239822387695,0.3524317741394043
13,0,10000,10000,0.031116008758544922,0.34221792221069336
14,0,10000,10000,0.03040003776550293,0.3416934013366699
15,0,10000,10000,0.030706405639648438,0.30402636528015137
16,0,10000,10000,0.07114958763122559,0.3092327117919922
17,0,10000,10000,0.06563520431518555,0.3019416332244873
13,0,10000,10000,0.06227254867553711,0.3082113265991211
14,0,10000,10000,0.031080245971679688,0.3548729419708252
15,0,10000,10000,0.02974534034729004,0.3423621654510498
16,0,10000,10000,0.03065013885498047,0.34415197372436523
17,0,10000,10000,0.02985095977783203,0.30240774154663086
13,0,10000,10000,0.06943845748901367,0.3068819046020508
14,0,10000,10000,0.06700825691223145,0.3090853691101074
15,0,10000,10000,0.06921100616455078,0.30962038040161133
16,0,10000,10000,0.030944347381591797,0.3554420471191406
17,0,10000,10000,0.03088521957397461,0.3379702568054199
13,0,10000,10000,0.030755281448364258,0.3422532081604004
14,0,10000,10000,0.030751943588256836,0.30553531646728516
15,0,10000,10000,0.07096123695373535,0.3065605163574219
16,0,10000,10000,0.06711220741271973,0.3076033592224121
17,0,10000,10000,0.0626223087310791,0.30690741539001465
13,0,10000,10000,0.03101181983947754,0.34990549087524414
14,0,10000,10000,0.03081202507019043,0.3418903350830078
15,0,10000,10000,0.030969858169555664,0.34254002571105957
16,0,10000,10000,0.030786752700805664,0.30654263496398926
17,0,10000,10000,0.07093358039855957,0.30271387100219727
13,0,10000,10000,0.06687808036804199,0.30815601348876953
14,0,10000,10000,0.06774330139160156,0.3093748092651367
15,0,10000,10000,0.03073573112487793,0.3512306213378906
16,0,10000,10000,0.03095245361328125,0.3441751003265381
17,0,10000,10000,0.030622005462646484,0.3368709087371826
13,0,10000,10000,0.030798673629760742,0.30620455741882324
14,0,10000,10000,0.06890487670898438,0.3095221519470215
15,0,10000,10000,0.0673370361328125,0.304516077041626
16,0,10000,10000,0.06902170181274414,0.30983567237854004
17,0,10000,10000,0.03092360496520996,0.34848880767822266
13,0,10000,10000,0.031194210052490234,0.3411529064178467
14,0,10000,10000,0.030634164810180664,0.3435235023498535
15,0,10000,10000,0.03097844123840332,0.30397582054138184
16,0,10000,10000,0.07169628143310547,0.3086071014404297
17,0,10000,10000,0.06731057167053223,0.3020439147949219
13,0,10000,10000,0.06418967247009277,0.3083469867706299
14,0,10000,10000,0.03091120719909668,0.35365891456604004
15,0,10000,10000,0.030677080154418945,0.33964061737060547
16,0,10000,10000,0.030758142471313477,0.34377193450927734
17,0,10000,10000,0.030115365982055664,0.3016495704650879
13,0,10000,10000,0.0649874210357666,0.3098418712615967
14,0,10000,10000,0.06817102432250977,0.3060736656188965
15,0,10000,10000,0.06664538383483887,0.3089783191680908
16,0,10000,10000,0.03114008903503418,0.3556480407714844
17,0,10000,10000,0.030722379684448242,0.33799099922180176
13,0,10000,10000,0.03079390525817871,0.3389616012573242
14,0,10000,10000,0.03081345558166504,0.30388903617858887
15,0,10000,10000,0.07049345970153809,0.30678319931030273
16,0,10000,10000,0.06726813316345215,0.3064608573913574
17,0,10000,10000,0.0665593147277832,0.3030686378479004
13,0,10000,10000,0.031129121780395508,0.34964990615844727
14,0,10000,10000,0.03112196922302246,0.34357619285583496
15,0,10000,10000,0.030872344970703125,0.34282946586608887
16,0,10000,10000,0.030757427215576172,0.3048243522644043
17,0,10000,10000,0.07101202011108398,0.3033447265625
13,0,10000,10000,0.06660652160644531,0.304288387298584
14,0,10000,10000,0.06799125671386719,0.30960893630981445
15,0,10000,10000,0.03112649917602539,0.35419392585754395
16,0,10000,10000,0.03095245361328125,0.34299278259277344
17,0,10000,10000,0.031087398529052734,0.33808040618896484
13,0,10000,10000,0.030911922454833984,0.3060281276702881
14,0,10000,10000,0.0697317123413086,0.307999849319458
15,0,10000,10000,0.06686115264892578,0.30550599098205566
16,0,10000,10000,0.06876444816589355,0.30882811546325684
17,0,10000,10000,0.030945539474487305,0.34587788581848145
13,0,10000,10000,0.031286001205444336,0.34268712997436523
14,0,10000,10000,0.030472517013549805,0.34289050102233887
15,0,10000,10000,0.03077840805053711,0.30695581436157227
16,0,10000,10000,0.07082939147949219,0.307631254196167
17,0,10000,10000,0.06712865829467773,0.301314115524292
13,0,10000,10000,0.06793570518493652,0.30914855003356934
14,0,10000,10000,0.031267404556274414,0.35501885414123535
15,0,10000,10000,0.031016826629638672,0.33609986305236816
16,0,10000,10000,0.030793190002441406,0.3428955078125
17,0,10000,10000,0.030812740325927734,0.30240821838378906
13,0,10000,10000,0.0692911148071289,0.30806422233581543
14,0,10000,10000,0.06617212295532227,0.30690598487854004
15,0,10000,10000,0.0688478946685791,0.30848002433776855
16,0,10000,10000,0.031008005142211914,0.357105016708374
17,0,10000,10000,0.030817508697509766,0.3384265899658203
13,0,10000,10000,0.030727386474609375,0.3406810760498047
14,0,10000,10000,0.03071451187133789,0.30506324768066406
15,0,10000,10000,0.07114148139953613,0.3050811290740967
16,0,10000,10000,0.06683564186096191,0.3057265281677246
17,0,10000,10000,0.06786417961120605,0.3040344715118408
13,0,10000,10000,0.03092670440673828,0.35378336906433105
14,0,10000,10000,0.03085017204284668,0.34238743782043457
15,0,10000,10000,0.030647993087768555,0.34318113327026367
16,0,10000,10000,0.030755043029785156,0.30561280250549316
17,0,10000,10000,0.07120418548583984,0.30672144889831543
13,0,10000,10000,0.06666827201843262,0.3052659034729004
