k,edit_distance,target_sequence_length,output_sequence_length,de_bruijn_graph_construction_time,euler_path_reconstruction_time
5,257398.0,258426,1028,1.8717129230499268,0.03255057334899902
6,254325.0,258426,4101,1.9260952472686768,0.13422942161560059
7,258426.0,258426,0,2.017817735671997,0.009258270263671875
8,258426.0,258426,0,2.4142327308654785,0.00013971328735351562
9,258426.0,258426,0,2.7412912845611572,0.00014448165893554688
10,258426.0,258426,0,3.3075339794158936,6.604194641113281e-05
11,258426.0,258426,0,3.9255125522613525,0.0007755756378173828
12,258426.0,258426,0,3.616407632827759,0.0011506080627441406
13,258426.0,258426,0,3.9202561378479004,0.0010013580322265625
14,258426.0,258426,0,4.023468494415283,0.0010309219360351562
15,258426.0,258426,0,3.7352192401885986,0.012946128845214844
16,258426.0,258426,0,3.970763683319092,0.038690805435180664
17,258426.0,258426,0,3.7228403091430664,0.05160260200500488
18,258426.0,258426,0,4.036839008331299,0.05402636528015137
19,258426.0,258426,0,4.190994501113892,0.054231882095336914
20,258426.0,258426,0,4.195384502410889,0.07504868507385254
21,258426.0,258426,0,4.293471336364746,0.08059167861938477
22,258426.0,258426,0,4.358863353729248,0.0767521858215332
23,258426.0,258426,0,4.0198259353637695,0.08272600173950195
24,258426.0,258426,0,3.8522071838378906,0.07621026039123535
25,258426.0,258426,0,4.182977914810181,0.08238983154296875
26,258426.0,258426,0,4.202175617218018,0.07700133323669434
27,258426.0,258426,0,4.244920492172241,0.07463264465332031
28,258426.0,258426,0,3.8766984939575195,0.07545685768127441
29,258426.0,258426,0,4.1134350299835205,0.07997822761535645
30,258426.0,258426,0,4.206847906112671,0.07859396934509277
31,258426.0,258426,0,4.313743591308594,0.17286300659179688
32,258426.0,258426,0,3.987408399581909,0.18316149711608887
33,258426.0,258426,0,3.858536958694458,0.17473149299621582
34,258426.0,258426,0,4.147207260131836,0.18011999130249023
35,258426.0,258426,0,3.744025707244873,0.17033171653747559
36,258426.0,258426,0,3.9890551567077637,0.593552827835083
