k,edit_distance,target_sequence_length,output_sequence_length,de_bruijn_graph_construction_time,euler_path_reconstruction_time
6,10000,10000,0,0.020041465759277344,0.0
7,10000,10000,0,0.031006813049316406,0.0
8,10000,10000,0,0.02933955192565918,0.00101470947265625
9,10000,10000,0,0.03394794464111328,0.00103759765625
10,10000,10000,0,0.0359652042388916,0.019002199172973633
11,10000,10000,0,0.15122294425964355,0.028998613357543945
12,10000,10000,0,0.04057431221008301,0.023003339767456055
13,10000,10000,0,0.03803372383117676,0.018087148666381836
14,0,10000,10000,0.14027142524719238,0.2697324752807617
15,0,10000,10000,0.05303788185119629,0.3045339584350586
16,0,10000,10000,0.14222931861877441,0.26224231719970703
17,0,10000,10000,0.03303647041320801,0.4414947032928467
18,0,10000,10000,0.031001567840576172,0.2719113826751709
19,0,10000,10000,0.030983686447143555,0.41884684562683105
20,0,10000,10000,0.0345759391784668,0.29781270027160645
21,0,10000,10000,0.03399920463562012,0.3892707824707031
22,0,10000,10000,0.035959720611572266,0.26538610458374023
23,0,10000,10000,0.04601693153381348,0.29216694831848145
24,0,10000,10000,0.17385244369506836,0.2846870422363281
25,0,10000,10000,0.03199911117553711,0.41469907760620117
26,0,10000,10000,0.03414130210876465,0.29734230041503906
27,0,10000,10000,0.11162400245666504,0.3038034439086914
28,0,10000,10000,0.03795504570007324,0.2725958824157715
29,0,10000,10000,0.12655138969421387,0.2653048038482666
30,0,10000,10000,0.031003713607788086,0.38543152809143066
31,0,10000,10000,0.03194069862365723,0.29381752014160156
32,0,10000,10000,0.03266787528991699,0.37181949615478516
33,0,10000,10000,0.035540103912353516,0.27919745445251465
34,0,10000,10000,0.03540825843811035,0.267136812210083
35,0,10000,10000,0.13126301765441895,0.28173017501831055
36,0,10000,10000,0.031000375747680664,0.41817331314086914
37,0,10000,10000,0.034046173095703125,0.27872347831726074
38,0,10000,10000,0.16312050819396973,0.34270215034484863
39,0,10000,10000,0.04754495620727539,0.32765889167785645
40,0,10000,10000,0.16873741149902344,0.3044891357421875
41,0,10000,10000,0.050003767013549805,0.3167145252227783
42,0,10000,10000,0.1322183609008789,0.28188419342041016
43,0,10000,10000,0.032984018325805664,0.4414353370666504
44,0,10000,10000,0.038665056228637695,0.2821817398071289
45,0,10000,10000,0.12532758712768555,0.2751805782318115
46,0,10000,10000,0.029523849487304688,0.26413655281066895
47,0,10000,10000,0.12898802757263184,0.28493332862854004
48,0,10000,10000,0.031000614166259766,0.3490109443664551
49,0,10000,10000,0.033562421798706055,0.30515122413635254
50,0,10000,10000,0.11759185791015625,0.2682952880859375
51,0,10000,10000,0.027962446212768555,0.28448939323425293
52,0,10000,10000,0.15957355499267578,0.3286299705505371
53,0,10000,10000,0.03199625015258789,0.5350384712219238
54,10000,10000,0,0.03670382499694824,0.021014928817749023
55,10000,10000,0,0.03293895721435547,0.03212308883666992
56,10000,10000,0,0.03261256217956543,0.025971412658691406
57,10000,10000,0,0.14177417755126953,0.02358388900756836
58,10000,10000,0,0.03600049018859863,0.031067848205566406
59,10000,10000,0,0.033670902252197266,0.019966602325439453
60,10000,10000,0,0.12669587135314941,0.019012928009033203
61,10000,10000,0,0.03264141082763672,0.022957801818847656
62,10000,10000,0,0.02800154685974121,0.021100521087646484
63,10000,10000,0,0.1272287368774414,0.023008108139038086
64,10000,10000,0,0.033002376556396484,0.02305912971496582
65,10000,10000,0,0.0356144905090332,0.02895522117614746
66,10000,10000,0,0.04751896858215332,0.02505660057067871
67,10000,10000,0,0.13064217567443848,0.017086267471313477
68,10000,10000,0,0.030611038208007812,0.019002437591552734
69,10000,10000,0,0.03300046920776367,0.021975994110107422
70,10000,10000,0,0.12229561805725098,0.022998571395874023
71,10000,10000,0,0.03300070762634277,0.01795649528503418
72,10000,10000,0,0.030516386032104492,0.020999431610107422
73,10000,10000,0,0.12552142143249512,0.019000530242919922
74,10000,10000,0,0.03351855278015137,0.024010896682739258
75,10000,10000,0,0.03899788856506348,0.021108388900756836
76,10000,10000,0,0.030614614486694336,0.018955469131469727
77,10000,10000,0,0.13167309761047363,0.02100992202758789
78,10000,10000,0,0.03252601623535156,0.020000696182250977
79,10000,10000,0,0.030035018920898438,0.021694660186767578
80,10000,10000,0,0.13265109062194824,0.01904916763305664
81,10000,10000,0,0.03700757026672363,0.023686647415161133
82,10000,10000,0,0.03694462776184082,0.017997264862060547
83,10000,10000,0,0.029516220092773438,0.01801300048828125
84,10000,10000,0,0.12366604804992676,0.02501535415649414
85,10000,10000,0,0.03661227226257324,0.02298760414123535
86,10000,10000,0,0.028000354766845703,0.017058849334716797
87,10000,10000,0,0.11968326568603516,0.022628307342529297
88,10000,10000,0,0.03493833541870117,0.017999649047851562
89,10000,10000,0,0.03101205825805664,0.018520593643188477
90,10000,10000,0,0.031000375747680664,0.026003122329711914
91,10000,10000,0,0.14815092086791992,0.023000240325927734
92,10000,10000,0,0.03196310997009277,0.018015146255493164
93,10000,10000,0,0.028629064559936523,0.018014907836914062
94,10000,10000,0,0.1186380386352539,0.01601886749267578
95,10000,10000,0,0.03148198127746582,0.02100062370300293
96,10000,10000,0,0.031000852584838867,0.017998933792114258
97,10000,10000,0,0.03153681755065918,0.018998384475708008
98,10000,10000,0,0.1286327838897705,0.021059751510620117
6,10000,10000,0,0.019555091857910156,0.0010004043579101562
7,10000,10000,0,0.028003692626953125,0.0
8,10000,10000,0,0.03500771522521973,0.0009968280792236328
9,10000,10000,0,0.04053187370300293,0.0
10,10000,10000,0,0.14263558387756348,0.027005672454833984
11,10000,10000,0,0.04310154914855957,0.025041818618774414
12,10000,10000,0,0.03996706008911133,0.02350640296936035
13,10000,10000,0,0.0419461727142334,0.018993616104125977
14,0,10000,10000,0.14775800704956055,0.2694568634033203
15,0,10000,10000,0.036008596420288086,0.2680644989013672
16,0,10000,10000,0.15006470680236816,0.2825174331665039
17,0,10000,10000,0.030983686447143555,0.37207746505737305
18,0,10000,10000,0.02999734878540039,0.26857638359069824
