k,edit_distance,target_sequence_length,output_sequence_length,de_bruijn_graph_construction_time,euler_path_reconstruction_time
6,10000,10000,0,0.04152417182922363,0.0
7,10000,10000,0,0.18010354042053223,0.0
8,10000,10000,0,0.054001808166503906,0.0
9,10000,10000,0,0.0496060848236084,0.0019991397857666016
10,10000,10000,0,0.05200052261352539,0.02657461166381836
11,10000,10000,0,0.3166031837463379,0.028006553649902344
12,10000,10000,0,0.04800891876220703,0.03351140022277832
13,10000,10000,0,0.04000282287597656,0.028050899505615234
14,10000,10000,0,0.20037841796875,0.03652167320251465
15,0,10000,10000,0.03798985481262207,0.43472766876220703
16,0,10000,10000,0.04399919509887695,0.59039306640625
17,0,10000,10000,0.02594780921936035,0.3911707401275635
18,0,10000,10000,0.03509187698364258,0.41602134704589844
19,0,10000,10000,0.033995866775512695,0.3399238586425781
20,0,10000,10000,0.05025434494018555,0.3344545364379883
21,0,10000,10000,0.1690363883972168,0.3583354949951172
22,0,10000,10000,0.03064107894897461,0.4713442325592041
23,0,10000,10000,0.039489030838012695,0.44135212898254395
24,0,10000,10000,0.11664390563964844,0.4612715244293213
25,0,10000,10000,0.04505133628845215,0.3347644805908203
26,0,10000,10000,0.1277022361755371,0.34655022621154785
27,0,10000,10000,0.03398394584655762,0.5800919532775879
28,0,10000,10000,0.03800344467163086,0.4455902576446533
29,0,10000,10000,0.04501819610595703,0.8473598957061768
30,0,10000,10000,0.04955792427062988,0.4726438522338867
31,0,10000,10000,0.0570070743560791,0.7880489826202393
32,0,10000,10000,0.1701197624206543,0.5279388427734375
33,0,10000,10000,0.06055736541748047,0.5719587802886963
34,0,10000,10000,0.04564023017883301,0.5185787677764893
35,0,10000,10000,0.18114018440246582,0.5083298683166504
36,0,10000,10000,0.04700660705566406,0.6743345260620117
37,0,10000,10000,0.1755378246307373,0.551567792892456
38,0,10000,10000,0.04238009452819824,0.4280998706817627
39,0,10000,10000,0.18405842781066895,0.3652489185333252
40,0,10000,10000,0.032944440841674805,0.4410126209259033
41,0,10000,10000,0.0505526065826416,0.370833158493042
42,0,10000,10000,0.15352964401245117,0.39523983001708984
43,0,10000,10000,0.0380251407623291,0.44482994079589844
44,0,10000,10000,0.16694188117980957,0.35858678817749023
45,0,10000,10000,0.03800511360168457,0.451709508895874
46,0,10000,10000,0.1276092529296875,0.3352508544921875
47,0,10000,10000,0.029043197631835938,0.4528336524963379
48,0,10000,10000,0.03347349166870117,0.32378435134887695
49,0,10000,10000,0.1185293197631836,0.3354916572570801
50,0,10000,10000,0.030977964401245117,0.3257029056549072
51,0,10000,10000,0.12764692306518555,0.316605806350708
52,10000,10000,0,0.04294610023498535,0.028067588806152344
53,10000,10000,0,0.1186528205871582,0.02846527099609375
54,10000,10000,0,0.03303718566894531,0.028015851974487305
55,10000,10000,0,0.03360390663146973,0.02295994758605957
56,10000,10000,0,0.035001516342163086,0.018118858337402344
57,10000,10000,0,0.1450963020324707,0.018967866897583008
58,10000,10000,0,0.027991533279418945,0.022689342498779297
59,10000,10000,0,0.03298234939575195,0.018962621688842773
60,10000,10000,0,0.11861062049865723,0.017001867294311523
61,10000,10000,0,0.030569076538085938,0.0235903263092041
62,10000,10000,0,0.029550552368164062,0.021088600158691406
63,10000,10000,0,0.1272735595703125,0.033949851989746094
64,10000,10000,0,0.035082340240478516,0.022643327713012695
65,10000,10000,0,0.028947830200195312,0.02399897575378418
