k,edit_distance,target_sequence_length,output_sequence_length,de_bruijn_graph_construction_time,euler_path_reconstruction_time
2,26,37,20,0.000997781753540039,0.0010077953338623047
3,37,37,0,0.000993967056274414,0.0
4,37,37,0,0.0,0.0
5,37,37,0,0.0010061264038085938,0.0
6,37,37,0,0.0,0.0
7,37,37,0,0.0,0.0
2,26,37,20,0.0,0.0
3,37,37,0,0.0009996891021728516,0.0
4,37,37,0,0.0,0.0
5,37,37,0,0.0,0.0
6,37,37,0,0.0,0.0009996891021728516
7,37,37,0,0.0,0.0
2,26,37,20,0.0,0.0
3,37,37,0,0.0,0.0010352134704589844
4,37,37,0,0.0,0.0
5,37,37,0,0.0,0.0
6,37,37,0,0.0,0.0
7,37,37,0,0.0,0.0
2,26,37,20,0.0,0.0
3,37,37,0,0.0,0.0009598731994628906
4,37,37,0,0.0,0.0
5,37,37,0,0.0,0.0
6,37,37,0,0.0,0.0
7,37,37,0,0.001039743423461914,0.0
2,26,37,20,0.0009968280792236328,0.0
3,37,37,0,0.0010042190551757812,0.0
4,37,37,0,0.0,0.0
5,37,37,0,0.0,0.0
6,37,37,0,0.0009982585906982422,0.0
7,37,37,0,0.0,0.0
2,26,37,20,0.0,0.0009577274322509766
3,37,37,0,0.0,0.0
4,37,37,0,0.0,0.0010390281677246094
5,37,37,0,0.0,0.0009636878967285156
6,37,37,0,0.0,0.0
7,37,37,0,0.0,0.0
2,26,37,20,0.0,0.0010416507720947266
3,37,37,0,0.0,0.0
4,37,37,0,0.0,0.0
5,37,37,0,0.0,0.0
6,37,37,0,0.0,0.0
7,37,37,0,0.0,0.0
2,26,37,20,0.0,0.0
3,37,37,0,0.00104522705078125,0.0
4,37,37,0,0.0,0.0
5,37,37,0,0.0,0.0
6,37,37,0,0.0,0.0
7,37,37,0,0.0,0.0
2,26,37,20,0.0,0.0
3,37,37,0,0.0010008811950683594,0.0
4,37,37,0,0.0,0.0
5,37,37,0,0.0,0.0
6,37,37,0,0.0,0.0
7,37,37,0,0.0,0.0
2,26,37,20,0.0,0.0
3,37,37,0,0.0,0.0
4,37,37,0,0.0010428428649902344,0.0
5,37,37,0,0.0,0.0
6,37,37,0,0.0,0.0
7,37,37,0,0.0,0.0
2,26,37,20,0.0,0.0
3,37,37,0,0.0,0.0
4,37,37,0,0.0009989738464355469,0.0
5,37,37,0,0.0,0.0
6,37,37,0,0.0,0.0
7,37,37,0,0.0,0.0
2,26,37,20,0.0,0.0
3,37,37,0,0.0,0.0
4,37,37,0,0.000995635986328125,0.0
5,37,37,0,0.0,0.0
6,37,37,0,0.0,0.0
7,37,37,0,0.0,0.0
2,26,37,20,0.0010006427764892578,0.0
3,37,37,0,0.0,0.0
4,37,37,0,0.0,0.0
5,37,37,0,0.0,0.0
6,37,37,0,0.0,0.0
7,37,37,0,0.0,0.0
2,26,37,20,0.0,0.0010008811950683594
3,37,37,0,0.0009996891021728516,0.0
4,37,37,0,0.0,0.0
5,37,37,0,0.0,0.0
6,37,37,0,0.0,0.0
7,37,37,0,0.0,0.0
2,26,37,20,0.0,0.0
3,37,37,0,0.0010099411010742188,0.0
4,37,37,0,0.0,0.0
5,37,37,0,0.0,0.0009992122650146484
6,37,37,0,0.0,0.0
7,37,37,0,0.0,0.0
2,26,37,20,0.0,0.0009999275207519531
3,37,37,0,0.0,0.0
4,37,37,0,0.0,0.0
5,37,37,0,0.0010001659393310547,0.0
6,37,37,0,0.0,0.0
7,37,37,0,0.0,0.0
2,26,37,20,0.0,0.0010004043579101562
3,37,37,0,0.0,0.0
4,37,37,0,0.0,0.0
5,37,37,0,0.0,0.00099945068359375
6,37,37,0,0.0,0.0
7,37,37,0,0.0,0.0
2,26,37,20,0.001001119613647461,0.0
3,37,37,0,0.0,0.0
4,37,37,0,0.0010013580322265625,0.0
5,37,37,0,0.0,0.0
6,37,37,0,0.0,0.0009996891021728516
7,37,37,0,0.0,0.0
2,26,37,20,0.0,0.0010020732879638672
3,37,37,0,0.0,0.0
4,37,37,0,0.0,0.0009992122650146484
5,37,37,0,0.0,0.0
6,37,37,0,0.0,0.0010018348693847656
7,37,37,0,0.0,0.0
2,26,37,20,0.0,0.002007722854614258
3,37,37,0,0.0,0.0009925365447998047
4,37,37,0,0.0,0.0
5,37,37,0,0.0,0.0
6,37,37,0,0.0,0.0010004043579101562
7,37,37,0,0.0,0.0
2,26,37,20,0.0,0.000997781753540039
3,37,37,0,0.0,0.0
4,37,37,0,0.0009999275207519531,0.0
5,37,37,0,0.0,0.0
6,37,37,0,0.0,0.0
7,37,37,0,0.00099945068359375,0.0
2,26,37,20,0.0009992122650146484,0.0
3,37,37,0,0.0,0.0
4,37,37,0,0.001001119613647461,0.0
5,37,37,0,0.0,0.0
6,37,37,0,0.0,0.0
7,37,37,0,0.0,0.0
2,26,37,20,0.0,0.0010025501251220703
3,37,37,0,0.0,0.0
4,37,37,0,0.0,0.0
5,37,37,0,0.0,0.0
6,37,37,0,0.0009968280792236328,0.0
7,37,37,0,0.0,0.0
2,26,37,20,0.0,0.0010004043579101562
3,37,37,0,0.0,0.0
4,37,37,0,0.0,0.0
5,37,37,0,0.0,0.0
6,37,37,0,0.00099945068359375,0.0
7,37,37,0,0.0,0.0
2,26,37,20,0.0,0.0009589195251464844
3,37,37,0,0.0,0.0
4,37,37,0,0.001001596450805664,0.0
5,37,37,0,0.0,0.0
6,37,37,0,0.0,0.0
7,37,37,0,0.001001596450805664,0.0
2,26,37,20,0.0,0.0
3,37,37,0,0.0,0.0009984970092773438
4,37,37,0,0.0,0.0
5,37,37,0,0.0,0.0
6,37,37,0,0.0,0.0
7,37,37,0,0.0,0.0
2,26,37,20,0.0,0.0
3,37,37,0,0.0,0.0
4,37,37,0,0.0,0.0
5,37,37,0,0.0,0.0
6,37,37,0,0.0,0.0
7,37,37,0,0.0,0.0
2,26,37,20,0.0,0.0
3,37,37,0,0.0009996891021728516,0.0
4,37,37,0,0.0,0.0
5,37,37,0,0.0,0.0
6,37,37,0,0.0009999275207519531,0.0
7,37,37,0,0.0,0.0
2,26,37,20,0.0,0.0009999275207519531
3,37,37,0,0.0,0.0
4,37,37,0,0.0,0.0
5,37,37,0,0.0,0.0010020732879638672
6,37,37,0,0.0,0.0
7,37,37,0,0.0,0.0
2,26,37,20,0.0,0.0009992122650146484
3,37,37,0,0.0,0.0
4,37,37,0,0.0,0.0
5,37,37,0,0.0009620189666748047,0.0
6,37,37,0,0.0,0.0
7,37,37,0,0.0,0.0
2,26,37,20,0.0,0.0
3,37,37,0,0.0009982585906982422,0.0
4,37,37,0,0.0,0.0
5,37,37,0,0.0,0.0
6,37,37,0,0.0,0.0
7,37,37,0,0.0,0.0
2,26,37,20,0.0,0.001003265380859375
3,37,37,0,0.0009987354278564453,0.0
4,37,37,0,0.0,0.0
5,37,37,0,0.0,0.0010018348693847656
6,37,37,0,0.0,0.0
7,37,37,0,0.0,0.0
2,26,37,20,0.0,0.0010001659393310547
3,37,37,0,0.0,0.0
4,37,37,0,0.0009984970092773438,0.0
5,37,37,0,0.0,0.0
6,37,37,0,0.0,0.0
7,37,37,0,0.0009999275207519531,0.0
2,26,37,20,0.0010004043579101562,0.0010004043579101562
3,37,37,0,0.0,0.0
4,37,37,0,0.0,0.0
5,37,37,0,0.0009999275207519531,0.0
6,37,37,0,0.0,0.0
7,37,37,0,0.0,0.0
2,26,37,20,0.0,0.0009999275207519531
3,37,37,0,0.0,0.0010001659393310547
4,37,37,0,0.0,0.0
5,37,37,0,0.0,0.0
6,37,37,0,0.0010020732879638672,0.0
7,37,37,0,0.0,0.0
2,26,37,20,0.0,0.0010006427764892578
3,37,37,0,0.0,0.0009999275207519531
4,37,37,0,0.0,0.0
5,37,37,0,0.0,0.0
6,37,37,0,0.00099945068359375,0.0
7,37,37,0,0.0,0.0
2,26,37,20,0.0,0.0019981861114501953
3,37,37,0,0.0,0.0
4,37,37,0,0.0,0.0
5,37,37,0,0.0,0.0
6,37,37,0,0.0,0.0
7,37,37,0,0.0010044574737548828,0.0
2,26,37,20,0.0,0.0010361671447753906
3,37,37,0,0.0,0.0
4,37,37,0,0.0,0.0
5,37,37,0,0.0,0.0
6,37,37,0,0.0,0.0
7,37,37,0,0.0,0.0
2,26,37,20,0.0,0.0010008811950683594
3,37,37,0,0.0,0.0
4,37,37,0,0.0,0.0
5,37,37,0,0.0009980201721191406,0.0
6,37,37,0,0.0,0.0
7,37,37,0,0.0,0.0
2,26,37,20,0.0,0.0
3,37,37,0,0.0009620189666748047,0.0
4,37,37,0,0.0,0.0
5,37,37,0,0.0,0.0
6,37,37,0,0.0,0.0
7,37,37,0,0.0010349750518798828,0.0
2,26,37,20,0.0,0.0
3,37,37,0,0.0,0.0
4,37,37,0,0.0,0.0009992122650146484
5,37,37,0,0.0,0.0
6,37,37,0,0.0,0.0
7,37,37,0,0.0,0.0
2,26,37,20,0.001005411148071289,0.0
3,37,37,0,0.0,0.0
4,37,37,0,0.0,0.0
5,37,37,0,0.0009937286376953125,0.0
6,37,37,0,0.0,0.0
7,37,37,0,0.0,0.0
2,26,37,20,0.0,0.0010197162628173828
3,37,37,0,0.0,0.0
4,37,37,0,0.0,0.0010204315185546875
5,37,37,0,0.0,0.0
6,37,37,0,0.0,0.0
7,37,37,0,0.0,0.0
2,26,37,20,0.000997304916381836,0.0
3,37,37,0,0.0,0.0
